City,Latitude,Longitude
Markas Ba Sing Se,25.0330,121.5654
Markas Omashu,10.3157,123.8854
Markas Pulau Kyoshi,10.4744,98.9305
Markas Gaoling,-0.9116,119.9004
Markas Senlin,23.5565,117.6227
Markas Makapu Oahu,21.3394,157.7147
Markas Hira'a Tahiti,15.2549,145.8150
Markas Chin Manila,14.5995,120.9842
Markas Tu Zin Cebu,10.3157,123.8854
Markas Saigon,10.8231,106.6297
Markas Kyoshi Bangkok,13.7563,100.5018
Markas Republik Singapore,1.3521,103.8198
Markas Jakarta Kerajaan Bumi,-6.2088,106.8456
Markas Surabaya Kerajaan Bumi,-7.2575,112.7521
Markas Davao Kerajaan Bumi,7.1907,125.4553
Markas Puerto Princesa Palawan,9.9672,118.7859
Markas Kuching Borneo,1.5497,110.3631
Markas Phnom Penh Kerajaan Bumi,11.5564,104.9282
Markas Full Moon Bay Kerajaan Bumi,10.6093,103.5297
Markas Pulau Ember Langkawi,6.3500,99.8000
